name;definition;unit;name in code;english name;who
K_LAI;maximal LAI produced;m2 m-2;;;DR
K2;actual mineralisation rate of humus;day-1;K2;;FF
K2hum;potential mineralisation rate of humus;day-1;K2hum;;FF
kgdiffus;proportion of diffusive radiation reaching the soil;SD;?;;AM
kgdirect;proportion of direct radiation reaching the soil;SD;?;;AM
kh;coefficient of heat transfer in the cold shelter;W m-2 K-1;kh;;ML
ks;coefficient of energy losses between the outside and inside of the shelter;W m-2 K-1;ks;;ML
L;latent heat of vaporization;MJ kg-1;L;latent_heat;DR
laieffcum;LAI removed;SD;laieffcum;LAI_removed;DR
lairognecum;sum of topped leaf area index ;m2 m-2;lairognecum;sum_lai_topped;DR
longsperacf;specific fine root length;cm g-1;;;DR + AM Variable calculated in chap root
longsperacg;specific coarse root length;cm g-1;;;DR + AM Variable calculated in chap root
lracsentot; total length of senescent roots;cm root cm-2 soil; lracsentot; total_death_root;AM devrait etre dans variable
lracsenz; death root length density at depth z;cm root cm-3 soil; lracsenz; death_root_length_density_z;AM unite a verifier
lracz;efficient root length density;cm root cm-3 soil;??;efficient_root_length_density;AM
M;snow in the process of melting;mm day-1;M;M_melting_snow;DR
MASECABSO;biomass accounting for nitrogen absorption;t DM ha-1;?;;AM variable
mouill;water retained on the foliage;mm;mouill;water_retained_by_foliage;DR
mouillmulch;water retained by the vegetal mulch;mm;mouillmulch;;ML
Mrf;liquid water in the snow cover in the process of refreezing;mm day-1;Mrf;M_liquid_snow;DR
msracmort;dead root biomass on the root depth;t ha-1;deadrootbiomass?;;DR
nbgraingel; number of frozen grains per square meter;grains m-2;nbgraingel;;PL
nbgrains; number of grains per square meter;grains m-2;nbgrains;;PL
nbjgrauto;days of autotrophy for a moistened seed;days;nbjgrauto;;ML
nbjhumec;maximal period that seedcan be in a moist status without seed death occurs ;days;nbjhumec;;DR
NH3g;ammonia concentration in the gaseous soil phase;mol l-1;NH3g;;FF
NH3surf;ammonia concentration at the soil surface;microgram N m-3;NH3surf;;FF
nit;amount of NO3-N in an elementary layer; kg N ha-1;nit;;JL
nodn;coefficient used to take into account the effect of the soil mineral N content on the potential N fixation;SD;nodn;;FF
Nvolatorg;volatilizable NH4;kg N ha-1;Nvolatorg;;FF
Nvolorg;actual ammonia volatilization rate;kg N ha-1 day-1;Nvolorg;;FF devrait etre ds variables de sortie
offrN;mineral N available for root uptake in each elementary soil layer;kg N ha-1;offrN;;FF
pgraingel; weight of frozen grains per square meter;g m-2;pgraingel;;PL
pgrain; weight of grains per square meter;g m-2;pgrain;;PL
pHvol;soil surface pH varying after organic residue application (such as slurry);SD;pHvol;;FF
propfixpot;phenology-dependent coefficient used to calculate potential N fixation;SD;propfixpot;;FF
propvolat;proportion of the volatilizable N fraction of the residue;SD;propvolat;;FF
ps;density of the snow cover;kg m-3;ps_in;ps_snow_density;DR
psisol;soil potential of the elementary layer;Mpa;psisol;;JL
psisols;retention curve parameter 1;MPa;psisols;;JL
QNplantule;amount of nitrogen in the plantlet;kg N ha-1;null;;DR
QNplmax;maximal amount of N possible in the crop;kg N ha-1;QNplmax;maximal_N_in_plant;DR
raa;aerodynamic resistance between the canopy and the reference height of weather measurements;s m-1;raa;;FF
raamax;maximum daily value of the aerodynamic resistance between the cover et the reference level zr;W m-2;raamax;;ML
raamin;minimum daily value of the aerodynamic resistance between the cover et the reference level zr;W m-2;raamin;;ML
racinepsi;efficient root length density participating in predawn potential, located in the moist layers (PSISOL < -1.5 Mpa), else =0.;cm root cm-3 soil;racinepsi;root_psi;JL un moment racinepsi=lracz comprend pas
rac;resistance of the canopy boundary layer;s m-1;rac;;ML
Ratm;atmospheric component of the long wave radiation;MJ m-2 day-1;Ratm;;ML
rc;resistance of canopy;s m-1;?;;ML
rdiffus;diffusive radiation;MJ m-2 day-1;?;;AM
rdirect;direct radiation;MJ m-2 day-1;?;;AM
rdroit;radiation not intercepted by the crop;MJ m-2 day-1;rdroit;;AM
reprac;underground/total biomass partitioning coefficient;SD; reprac; root_over_total_biomass_partitioning_coefficient;AM
rgex;extraterrestrial radiation;MJ m-2 day-1;rgex;;ML
Rglo;long wave radiation;MJ m-2 day-1;RGLO;;ML
rgmax;maximum daily value of the global radiation;W m-2;rgmax;;ML
rgmin;minimum daily value of the global radiation;W m-2;rgmin;;ML
rl;root length density at depth z;cm root cm-3 soil; rl; root_length_density_z;AM devrait etre dans variable
rlf;length of fine roots in layer iz on day n;cm cm-2 soil;;;DR
rlg;length of coarse roots in layer iz on day n;cm cm-2 soil;;;DR
rlj_dens; plant density component of rlj;plant m-2; ??; plant_density_component_rlj;AM
rlj_dev; plant density component of rlj;m root plant-1 degree-day-1; ??; plant_density_component_rlj;AM
rlj_stress; stress component of root length growth rlj;SD; ??; stress_component_rlj;AM
rlj_T; thermal component of root length growth rlj;degreeC day-1; ??; thermal_component_of_rlj;AM
rljfront; root length growth at the root front; m root m-2 day-1; ??; rlj_at_root_front;AM
rnet_PE;Net radiation for Brunt formula;MJ m-2;rnet;net_radiation;DR
rnet_PT;Net radiation for Priestley-Taylor evapotranspiration calculation;MJ m-2;rnet dans calceeq;net_radiation;DR
rnetmax;maximum value of daily net radiation;W m-2;rnetmax dans caltcult.f90;;ML
rnetmin;minimum value of daily net radiation;W m-2;rnetmin dans caltcult.f90;;ML
rnetP;net radiation affecting the crop;MJ m-2;;;ML
Rsol;surface comopnent of the long wave radiation;MJ m-2 day-1;Rsolglo;;ML
RsRso;total to extraterrestrial radiation ratio;SD;RsRso;;AM
rtransmis;radiation transmistted through the crop;MJ m-2 day-1;rtransmis;;AM
Sdry;water in solid state in the snow cover;mm;Sdry;;PL
S_WE;ratio between the snow water equivalent;mm;;;DR
Swet;water in liquid state in the snow cover;mm;Swet;;PL
sat;macroporosity elementary layer soil water content;mm water cm soil-1;sat;;JL
SB;seed bed;cm;null;;DR
sbv;specific surface area of biomass;cm2 g-1;sbvmax;specific_surface_area_biomass;DR
sbvmax;leaf expansion allowed per unit of biomass accumulated;cm2 g-1;?;;AM
sla;maximum SLA (specific leaf area) of green leaves;cm2 g-1;slamax;maximum_specific_leaf_area;DR
somger;growing degree-days from planting in the seed bed;degrees C;somger;;DR
SOMSEN;current thermal time for senescence;Q10;?;;AM
ST_LAI;growing degree-days since emergence;degreesC;;;DR
stdebsenrac_p; life span of roots;degreeC day-1; ??; life_span_root; AM devrait etre dans parameters
SURFAO;fraction of surface in the shade;SD;?;;AM
SURFAS;fraction of surface in the sun;SD;?;;AM
surfouvre;proportion of vents related to the total surface area of the greenhouse;0-1;surfouvre;;ML
tair;mean air temperature (measured );degreesC;tairveille;mean_air_temperature;DR
TDEW;dewpoint temperature;degreesC;TDEW;;ML
teta;available water content in the root zone;cm3 water cm-3 soil;?;;AM variable
tetsen;threshold soil water content accelering senescence;cm3 water cm-3 soil;?;;AM parameter? tetstomate and teturg designed as variable? or parameter?
TF_LAI;growing degree-days for the point of inflexion of the complete senescence;degrees C;;;DR
TI_LAI;growing degree-days for the point of inflexion of the growth curve ;degrees C;;;DR
tmin;minimum temperature ;degreesC;tmin(n);min_air_temperature;DR
tnh;normalized time (day) for humus mineralization;SD;tnh;;FF
tpm;vapour pressure in air;mbars;tpm;;ML
TRECOUVMAXp;proportion of the soil covered by isolated plant;SD;?;;AM
tsol;soil temperature ;degrees C;tsol;Soil_temp;DR
TURSAL;mean water stress TURFAC experienced since emergence;SD;?;;AM
TVAR;saturating vapour pressure as a function of temperature;mbars;TVAR;;ML
Vabs;specific N absorption capacity of the roots;micromole N h-1 cm-1 root;Vabs;;FF
vabsmoy;Nitrogen uptake rate;Kg N ha-1 day-1;vabsmoy;Nitrogen_uptake_rate;DR
VABSN;nitrogen accumulation rate in the plant (uptake and fixation);kg N ha-1 day-1;?;;AM variable
wfps;water filled pore space;SD;wfps;;BM
wfpscc;water filled pore space at fied capacity;SD;wfpscc;;BM
wsat;total porosity;SD;wsat;;JL
XMULCH;thickness of mulch created by evaporation from the soil;cm;pas dans le code;;ML
z0;crop roughness;m;z0;;ML
z0s;soil or understorey crop roughness;m;z0solnu;;ML
zdemi;root depth that ensures at least an extraction near the soil surface of 20% of the water available;cm; zdemi; threshold_extraction_20%_water_available;AM
znonli;root depth if no obstacle;cm; znonli; root_depth_without_obstacle;AM
code_diff_rac;1 two types of roots (fine and coarse roots or 2 a single mean type of root;SD;codediffroot;;AM voir si cela est bien ce nom parameter
codeinstal;Technical code to describe either seedling or already installed crop;SD;codeinstal;;AM parameter
nhet;number of days of heterotrophy during germination;day;nhet;;AM calcule dans chap root
newrac;root length growth thanks to seed reserve remobilization during germination;m day-1;newrac;;AM variable calculee dans chap root
dis;A voir avec Nicolas;?;dis;;AM variable calculee dans chap root
debsenracf;thermal time units defining the begining of root senescence for fine roots;degreeC day-1;debsenracf;;AM parameter chap root
debsenracg;thermal time units defining the begining of root senescence for coarse roots;degreeC day-1;debsenracg;;AM parameter chap root
drliz;daily root length emission per elementary layer;cm root cm-3 soil;drliz;;AM variable calculee dans chap root
Wi;index of soil water availability (0-1);SD;;;DR
aevap;soil evaporation parameter combining climatic and soils aspects;mm;;;DR
EVAP0;accumulation of evaporative fluxes (esol, Emd, emulch);mm;;;DR
RNETP1;net radiation affecting the crop (use for direct evaporation);MJ m-2 day-1;;;DR
RNETP2;net radiation affecting the crop (use for transpiration);MJ m-2 day-1;;;DR
dh;displacement height;m;;;DR
hmin;water content at permanent wilting point of macro layer;%weight;;;DR
vnit;nitrification rate;mg N kg-1 day-1;vnit;;FF
vnitpot;potential nitrification rate;mg N kg-1 day-1;vnitpot;;FF
theta_sat;volumic soil water content at saturation;cm3 cm-3;theta_sat;;FF
devjour;daily development rate;ND;devjourfr;;PL
k;growth compartment;ND;i;;PL
croifruit;fruit growth;g m-2;croifruit;;PL
teaugrain;Water content of (harvested) organs;g g-1;teaugrain;;PL
dltazo;daily increase of grain nitrogen content;kgN.ha-1.day-1;dltazo;;PL-BD
potcroifruit;potential growth of a fruit;g.fruit-1.day-1;potcroifruit;;BD
dfr;fruit development stage of each age class;SD;dfr;;BD
mafraisfeuille;leaf fresh matter;t.ha-1;mafraisfeuille;;BD
mafraistige;structural stem fresh matter;t.ha-1;mafraistige;;BD
mafraisres;reserve fresh matter;t.ha-1;mafraisres;;BD
resperenne0;initial biomass reserve;t.ha-1;resperenne0;;BD
sum_eos;sum of daily maximum evaporation flux;mm;;;DR
z;soil elementary layer  of 1 cm;cm;z;;DR
